id_producto,sku,nombre_producto,categoria,subcategoria,marca,precio_lista,costo_unitario,stock,estado_producto,fecha_creacion
1,SKU-16416,Carlos Pudo,Electrónica,Computación,Sony,1203.57,801.99,185,activo,2024-05-26
2,SKU-33985,Dicen Siendo,Moda,Ropa,Xiaomi,658.03,388.34,40,inactivo,2024-07-22
3,SKU-68720,Lejos Debido,Deportes,Accesorios,Lenovo,338.59,244.7,39,descontinuado,2026-01-24
4,SKU-27631,Resulta Casa,Electrónica,Telefonía,Adidas,297.3,214.56,179,descontinuado,2024-06-09
5,SKU-52043,Puerta Cantidad,Hogar,Cocina,LG,226.49,117.56,78,descontinuado,2025-05-15
6,SKU-01745,Porque Peso,Electrónica,Audio,Whirlpool,745.22,532.13,296,inactivo,2026-03-01
7,SKU-11851,Respecto Prueba,Oficina,Tecnología,Whirlpool,1479.91,833.37,161,activo,2025-01-31
8,SKU-89840,Operación Visita,Moda,Ropa,Nike,667.77,371.27,140,descontinuado,2025-01-02
9,SKU-69714,Situación Sigue,Electrónica,Computación,Adidas,118.69,72.59,19,activo,2025-01-24
10,SKU-26641,Buenos Trabajo,Deportes,Outdoor,LG,969.84,768.19,46,descontinuado,2024-12-14
11,SKU-17708,Aún Don,Oficina,Tecnología,Ikea,698.37,449.76,21,inactivo,2024-04-19
12,SKU-02725,Superior Metros,Oficina,Tecnología,Xiaomi,487.72,300.66,77,activo,2024-07-21
13,SKU-06284,Proyectos Tenía,Moda,Ropa,Lenovo,1473.72,706.67,88,activo,2025-07-12
14,SKU-34098,Última Material,Hogar,Muebles,Nike,1486.55,941.62,81,inactivo,2025-11-07
15,SKU-91131,Cinco Vez,Deportes,Outdoor,Ikea,617.88,351.22,26,descontinuado,2024-04-19
16,SKU-50111,Llegado Puntos,Deportes,Fitness,Lenovo,149.0,102.43,145,inactivo,2026-03-19
17,SKU-10924,Lado Buscar,Oficina,Papelería,Lenovo,129.6,88.42,179,inactivo,2024-11-05
18,SKU-26359,Siguiente Hasta,Moda,Ropa,Mabe,1065.58,511.11,286,inactivo,2025-11-05
19,SKU-53918,Etapa Problema,Deportes,Fitness,Whirlpool,1056.62,825.74,269,activo,2025-11-20
20,SKU-91343,Ahora Volvió,Moda,Accesorios,Lenovo,35.2,19.65,109,inactivo,2024-04-09
21,SKU-05985,Decía Humanos,Moda,Ropa,Xiaomi,1499.97,756.33,151,activo,2025-10-25
22,SKU-85833,Al Media,Oficina,Tecnología,Genérica,1326.45,614.43,172,descontinuado,2025-04-13
23,SKU-15167,Construcción Cerca,Hogar,Muebles,Ikea,238.15,122.24,84,descontinuado,2025-08-20
24,SKU-73695,Ahí Esta,Moda,Ropa,Ikea,551.53,387.09,227,descontinuado,2025-05-22
25,SKU-27738,Ayuda Campo,Deportes,Accesorios,Nike,357.13,190.6,240,activo,2024-07-22
26,SKU-21260,Ningún Ante,Deportes,Accesorios,Mabe,1476.78,903.18,144,inactivo,2024-07-14
27,SKU-68206,Energía Mucha,Oficina,Tecnología,Ikea,1449.67,1066.83,70,inactivo,2024-04-30
28,SKU-02045,Sistemas Muy,Electrónica,Telefonía,Nike,1312.18,845.16,52,descontinuado,2025-08-01
29,SKU-33012,Central Parecía,Oficina,Papelería,HP,133.14,67.38,230,descontinuado,2025-07-25
30,SKU-43068,Grande Recuerdo,Hogar,Decoración,LG,1420.05,749.38,230,inactivo,2025-08-22
31,SKU-34245,G Premio,Electrónica,Computación,Samsung,599.51,348.25,197,activo,2025-09-11
32,SKU-46849,Ni Causa,Deportes,Fitness,Samsung,483.48,234.33,171,activo,2025-10-07
33,SKU-78302,Estado Se,Hogar,Cocina,HP,1376.76,847.2,71,descontinuado,2025-02-19
34,SKU-27851,Me Debe,Moda,Calzado,Mabe,15.83,7.56,131,activo,2024-06-03
35,SKU-11569,Capacidad Pedro,Hogar,Muebles,Genérica,916.45,548.16,147,activo,2024-04-24
36,SKU-16566,Región Tema,Deportes,Fitness,Samsung,363.75,245.03,234,activo,2025-06-08
37,SKU-94315,Programa Primer,Electrónica,Computación,Mabe,807.79,542.18,294,activo,2025-09-23
38,SKU-62058,Rafael Sol,Hogar,Decoración,Ikea,10.33,5.92,292,inactivo,2025-08-15
39,SKU-63746,Perdido Así,Hogar,Muebles,Whirlpool,135.74,107.39,34,descontinuado,2024-12-17
40,SKU-92005,Posibilidades Título,Oficina,Tecnología,Adidas,834.79,489.74,240,activo,2026-01-07
41,SKU-48682,Todos Hasta,Moda,Calzado,HP,1123.0,645.71,34,inactivo,2024-04-07
42,SKU-01196,Visita Toda,Hogar,Muebles,Whirlpool,945.36,680.68,170,activo,2026-02-14
43,SKU-19153,Universidad Sola,Electrónica,Computación,Adidas,513.11,346.34,237,descontinuado,2025-07-18
44,SKU-76878,Consumo Datos,Moda,Accesorios,Sony,1218.75,575.35,234,activo,2025-10-14
45,SKU-25163,Hacerlo Pasar,Deportes,Fitness,Samsung,1188.33,903.16,161,inactivo,2024-08-28
46,SKU-77947,Cuarto Fiscal,Oficina,Mobiliario,Adidas,714.31,330.6,97,inactivo,2024-08-10
47,SKU-92984,Mismo Sé,Deportes,Fitness,Whirlpool,503.23,248.38,188,inactivo,2025-05-06
48,SKU-69535,Quiero Bien,Moda,Accesorios,Nike,1342.8,785.98,95,inactivo,2025-03-21
49,SKU-03285,Cara Buscar,Moda,Calzado,Adidas,405.95,194.42,217,activo,2025-01-11
50,SKU-69664,Vía Estados,Moda,Accesorios,Sony,821.85,462.23,40,inactivo,2026-01-13
51,SKU-63758,Autoridades Oposición,Deportes,Outdoor,Nike,907.11,543.49,227,inactivo,2024-04-25
52,SKU-68289,Usted Debe,Moda,Ropa,Genérica,1306.1,748.91,222,inactivo,2024-09-09
53,SKU-44478,Fuera Constitución,Electrónica,Audio,Whirlpool,959.17,553.59,81,activo,2025-04-18
54,SKU-99523,Difícil Cámara,Hogar,Muebles,Whirlpool,1173.72,542.47,34,activo,2025-06-26
55,SKU-07590,Abril Pensar,Deportes,Outdoor,Ikea,1424.6,657.22,78,descontinuado,2026-01-10
56,SKU-40598,Alta Pregunta,Moda,Calzado,Lenovo,670.36,319.7,70,descontinuado,2025-12-29
57,SKU-69095,Ciudad Capital,Deportes,Outdoor,Lenovo,977.14,525.08,58,activo,2025-08-27
58,SKU-01183,Mujeres Políticos,Hogar,Decoración,Adidas,585.39,378.5,134,inactivo,2025-04-19
59,SKU-37727,Medidas Local,Moda,Ropa,Mabe,434.08,334.57,251,activo,2026-01-05
60,SKU-03854,Señor Ayer,Electrónica,Audio,LG,682.45,521.76,227,activo,2024-05-08
61,SKU-26193,Estos Paciente,Deportes,Accesorios,Lenovo,1066.63,685.31,148,inactivo,2024-08-06
62,SKU-01417,Dicho Aire,Hogar,Muebles,Genérica,1391.57,936.8,185,descontinuado,2025-04-24
63,SKU-36980,Especial Importantes,Hogar,Cocina,Xiaomi,1189.76,633.97,252,activo,2026-02-09
64,SKU-73623,Voy Millones,Deportes,Accesorios,Mabe,558.42,408.36,282,activo,2026-01-30
65,SKU-69799,Humano Ocasión,Oficina,Papelería,LG,469.46,375.5,245,descontinuado,2026-03-08
66,SKU-71242,Tuvo Años,Moda,Calzado,Mabe,118.04,93.29,37,inactivo,2025-12-16
67,SKU-40661,Seguridad Aumento,Moda,Accesorios,Adidas,522.02,395.32,282,descontinuado,2024-04-19
68,SKU-56101,Esto Mayoría,Oficina,Papelería,Sony,653.47,502.35,28,activo,2024-08-28
69,SKU-24615,Unos Noche,Oficina,Papelería,HP,253.67,142.8,115,inactivo,2026-02-23
70,SKU-76447,Pero Humana,Oficina,Mobiliario,LG,381.9,256.74,282,inactivo,2025-08-23
71,SKU-28328,Hombre Proyectos,Hogar,Muebles,HP,924.73,446.37,86,descontinuado,2026-01-31
72,SKU-13481,Meses Demasiado,Oficina,Papelería,Sony,990.83,695.78,172,descontinuado,2024-12-02
73,SKU-05377,Están Ello,Electrónica,Audio,LG,75.83,51.15,295,inactivo,2025-12-31
